Census Tract - 2010 Census,US Postal State Code,County - 2010 Census,2010 Census Tract - Percent Minority,Tract Income Ratio,Num Low Income Mortgages 2012,Num Low Income Mortgages 2013,Num Low Income Mortgages 2014,Num Low Income Mortgages 2015,Num Low Income Mortgages 2016,Num Low Income Mortgages 2017,Num Low Income Mortgages 2018,Num Low Income Mortgages 2019
7020,6,67,47.4962816063461,191.545059596747,94,86.0,54.0,81.0,77.0,48.0,34.0,58.0
7100,32,3,77.6357827476038,62.640871525169096,35,34.0,28.0,19.0,40.0,41.0,49.0,35.0
7101,6,67,20.9486166007905,223.196780661691,6,3.0,0.0,0.0,2.0,1.0,0.0,0.0
7102,6,67,58.3599722029187,128.15807062493002,181,209.0,113.0,162.0,177.0,151.0,139.0,164.0
7103,6,67,66.051948051948,104.611785674502,50,58.0,37.0,49.0,32.0,32.0,35.0,36.0
7104,6,67,63.6493692287684,138.96346218113,175,211.0,116.0,147.0,143.0,81.0,85.0,102.0
7105,6,67,66.2453531598513,107.503898852623,180,173.0,117.0,135.0,153.0,104.0,93.0,99.0
7106,6,67,64.1530512498254,151.718280049014,132,140.0,72.0,111.0,82.0,70.0,58.0,65.0
7107,6,67,58.1850533807829,176.001169655787,48,70.0,42.0,48.0,81.0,51.0,41.0,80.0
7200,32,3,62.21251149954,88.7099298772853,38,44.0,19.0,29.0,35.0,46.0,47.0,45.0
7201,6,19,42.5628992308695,128.922112185982,93,109.0,55.0,60.0,74.0,69.0,43.0,54.0
7202,6,67,34.7109471094711,91.8625375960789,118,124.0,90.0,91.0,97.0,83.0,71.0,83.0
7204,6,67,58.5498489425982,79.880528016041,87,89.0,51.0,83.0,96.0,81.0,67.0,68.0
7206,6,67,26.7731784071653,99.50150384315471,69,77.0,44.0,61.0,69.0,59.0,45.0,51.0
7207,6,67,27.1604938271605,87.693550183803,68,94.0,51.0,70.0,60.0,73.0,48.0,58.0
7208,6,67,34.2825361512792,97.4044781107274,71,73.0,45.0,59.0,71.0,66.0,44.0,64.0
7209,6,67,26.6847090663058,92.912442909658,52,57.0,43.0,41.0,63.0,61.0,44.0,49.0
7300,6,19,69.9938385705484,102.651703437464,7,26.0,17.0,6.0,13.0,12.0,11.0,12.0
7301,6,67,48.3419465977605,50.8243288403698,36,42.0,31.0,30.0,31.0,37.0,39.0,53.0
7400,6,19,69.4757609921082,95.29308301150921,13,11.0,6.0,11.0,7.0,14.0,10.0,10.0
7402,6,67,44.1747572815534,79.7830567004567,63,105.0,55.0,73.0,86.0,95.0,82.0,82.0
7403,6,67,49.9669385056205,63.8785228918347,40,56.0,36.0,59.0,54.0,45.0,47.0,49.0
7406,6,67,48.6362444269604,59.17901303330731,75,87.0,64.0,66.0,70.0,96.0,58.0,74.0
7413,6,67,47.8253540121376,51.76283836470979,44,51.0,27.0,44.0,31.0,40.0,33.0,37.0
7414,6,67,47.324530924253,60.3138576361814,57,63.0,45.0,36.0,45.0,46.0,59.0,62.0
7415,6,67,37.7426785126686,90.8516208087334,47,55.0,29.0,30.0,55.0,60.0,49.0,61.0
7416,6,67,41.5675116399379,70.6848056143478,50,60.0,35.0,61.0,57.0,69.0,46.0,66.0
7417,6,67,43.8911022576361,86.7118747911329,37,72.0,44.0,64.0,55.0,68.0,61.0,80.0
7421,6,67,41.1529490169943,119.292358248858,216,243.0,134.0,172.0,195.0,147.0,99.0,118.0
7422,6,67,43.1649331352155,64.5037317589395,24,41.0,17.0,23.0,27.0,25.0,14.0,30.0
7423,6,67,67.2124976472803,35.0186587946976,17,23.0,14.0,22.0,18.0,35.0,42.0,50.0
7424,6,67,50.5986316989738,47.6328394786677,33,43.0,26.0,41.0,30.0,31.0,35.0,28.0
7426,6,67,47.9409131602507,83.1778433775203,22,35.0,20.0,22.0,20.0,26.0,28.0,22.0
7427,6,67,43.8888888888889,75.9788904979392,114,118.0,87.0,83.0,105.0,94.0,52.0,99.0
7428,6,67,33.9032164589974,78.4992202294753,84,78.0,72.0,66.0,75.0,75.0,50.0,74.0
7429,6,67,50.5624872161996,60.4224685306895,54,68.0,34.0,55.0,43.0,57.0,40.0,42.0
7430,6,67,43.1005765534914,95.2002339311574,137,162.0,107.0,170.0,151.0,120.0,98.0,115.0
7431,6,67,44.9776453055142,130.429152278044,73,90.0,43.0,54.0,64.0,52.0,40.0,37.0
7432,6,67,37.6984126984127,120.54556087779899,91,120.0,76.0,94.0,109.0,75.0,59.0,83.0
7433,6,67,43.0120167189133,88.5137016820764,134,153.0,84.0,111.0,137.0,106.0,92.0,104.0
7500,6,19,72.4040098354454,89.1331778381065,42,54.0,26.0,34.0,38.0,41.0,40.0,38.0
7501,6,67,35.7837481457063,45.1111172997661,86,80.0,54.0,72.0,81.0,81.0,44.0,72.0
7503,6,67,40.3298045602606,65.5605993093461,51,60.0,36.0,29.0,47.0,33.0,27.0,39.0
7504,6,67,32.0837390457644,93.81614124986079,32,36.0,22.0,20.0,26.0,23.0,20.0,18.0
7600,32,3,27.05439133506,74.1359879789632,48,57.0,23.0,27.0,38.0,43.0,42.0,46.0
7601,6,67,29.7381546134663,97.5673944524897,83,99.0,72.0,53.0,88.0,54.0,50.0,65.0
7602,6,67,25.8281013206322,107.66542274702,88,83.0,58.0,50.0,70.0,68.0,47.0,60.0
7700,6,19,73.9060546526165,81.25262876151879,30,18.0,11.0,15.0,32.0,29.0,21.0,7.0
7701,6,67,31.8478615736206,74.462515316921,80,82.0,44.0,55.0,77.0,44.0,39.0,45.0
7702,6,67,21.2726428239666,164.308789127771,76,67.0,38.0,28.0,32.0,29.0,18.0,26.0
7801,6,67,26.0353950009122,124.84543834243101,92,100.0,36.0,53.0,51.0,47.0,39.0,51.0
7802,6,67,23.7104825291181,120.29213545728,53,64.0,27.0,35.0,20.0,40.0,21.0,35.0
7902,6,19,76.1123267687819,85.64409436775901,11,15.0,11.0,11.0,6.0,7.0,7.0,4.0
7903,6,67,23.9510489510489,97.332070847722,91,102.0,58.0,71.0,81.0,52.0,39.0,69.0
7904,6,67,20.3252032520325,99.4096023170324,105,111.0,81.0,88.0,90.0,90.0,59.0,63.0
7905,6,67,18.792899408284,126.797649548847,91,70.0,37.0,56.0,56.0,48.0,27.0,47.0
7906,6,67,22.1843971631206,106.609947643979,75,72.0,42.0,46.0,56.0,32.0,22.0,40.0
8000,6,19,56.6609816183438,93.5896455473559,26,30.0,23.0,20.0,23.0,21.0,21.0,24.0
8005,6,67,18.5365853658537,170.267071404701,124,110.0,59.0,71.0,82.0,54.0,22.0,47.0
8006,6,67,18.6778593913956,126.03737328729001,107,91.0,53.0,64.0,75.0,44.0,36.0,48.0
8007,6,67,24.436686766106,103.024395677843,49,55.0,35.0,56.0,44.0,30.0,36.0,24.0
8008,6,67,17.7223427331887,147.586888715607,118,116.0,54.0,53.0,80.0,50.0,37.0,70.0
8009,6,67,19.9682323576129,117.80104712041899,72,63.0,29.0,40.0,48.0,27.0,19.0,23.0
8010,6,67,21.3496932515337,112.45265678957298,91,98.0,48.0,51.0,75.0,37.0,33.0,54.0
8100,6,19,66.6490950623792,73.3032539288036,34,28.0,20.0,21.0,31.0,21.0,31.0,24.0
8111,6,67,21.3879408418658,90.639968809179,111,145.0,110.0,98.0,129.0,115.0,100.0,122.0
8113,6,67,33.1289978678038,72.4406817422301,46,65.0,53.0,60.0,68.0,60.0,60.0,62.0
8117,6,67,25.8637236084453,78.3251643087891,38,45.0,28.0,32.0,36.0,38.0,37.0,37.0
8119,6,67,25.0176429075512,95.1333964576139,106,125.0,68.0,83.0,122.0,109.0,71.0,116.0
8120,6,67,28.0320131335933,86.157680739668,72,73.0,44.0,51.0,69.0,64.0,50.0,60.0
8122,6,67,22.3995271867612,86.626935501838,47,79.0,33.0,36.0,42.0,40.0,18.0,34.0
8124,6,67,18.3117463153193,125.059875236716,104,109.0,77.0,78.0,92.0,78.0,57.0,90.0
8125,6,67,20.4558404558405,122.95310237273,116,154.0,81.0,104.0,113.0,97.0,87.0,98.0
8127,6,67,31.7404006677796,91.7413946752813,95,123.0,76.0,79.0,102.0,109.0,73.0,92.0
8128,6,67,27.5385865150284,98.1550072407263,43,46.0,35.0,41.0,53.0,53.0,28.0,47.0
8129,6,67,30.553901131626,92.4738219895288,48,56.0,48.0,40.0,55.0,40.0,42.0,61.0
8130,6,67,30.8162722680138,108.62064163974601,61,94.0,50.0,69.0,56.0,62.0,44.0,56.0
8131,6,67,30.4144656643641,72.3529575582043,77,74.0,55.0,61.0,59.0,50.0,49.0,48.0
8132,6,67,23.5040431266846,95.8713935613234,68,73.0,43.0,60.0,75.0,60.0,36.0,60.0
8133,6,67,34.9547511312217,48.238554082655696,16,29.0,25.0,29.0,36.0,34.0,23.0,32.0
8134,6,67,31.0092532816871,72.4197950317478,84,100.0,63.0,63.0,73.0,72.0,55.0,77.0
8135,6,67,24.6,70.28517322045231,66,86.0,57.0,56.0,87.0,83.0,61.0,75.0
8136,6,67,26.0367678495083,83.5468419293751,29,35.0,19.0,27.0,29.0,20.0,11.0,26.0
8137,6,67,20.1480263157895,70.3394786677064,32,35.0,18.0,20.0,26.0,33.0,12.0,19.0
8138,6,67,33.2399103139013,88.8214325498496,60,64.0,48.0,44.0,54.0,51.0,39.0,45.0
8139,6,67,36.8452380952381,62.6601314470313,35,48.0,13.0,26.0,37.0,30.0,22.0,24.0
8140,6,67,23.0476848652384,119.84933719505399,49,74.0,34.0,39.0,52.0,48.0,38.0,48.0
8141,6,67,39.5205177231946,51.929932048568595,68,72.0,54.0,62.0,58.0,38.0,43.0,56.0
8142,6,67,30.2117506710409,69.3731201960566,53,38.0,23.0,25.0,27.0,22.0,21.0,30.0
8143,6,67,27.5188323917137,73.58666592402811,66,60.0,42.0,53.0,61.0,35.0,36.0,54.0
8144,6,67,20.1101928374656,115.89200178233301,76,83.0,40.0,63.0,76.0,60.0,43.0,57.0
8145,6,67,19.3464942137509,123.00880026735,159,202.0,123.0,138.0,194.0,125.0,112.0,139.0
8200,6,19,92.8919461163657,50.2600084120369,9,22.0,6.0,11.0,16.0,17.0,17.0,9.0
8203,6,67,15.9033613445378,121.03152500835499,98,110.0,51.0,58.0,71.0,67.0,45.0,39.0
8204,6,67,17.285873192436,99.2118747911329,95,96.0,71.0,86.0,94.0,67.0,49.0,76.0
8206,6,67,20.6633557999291,109.158126322825,123,157.0,87.0,113.0,112.0,96.0,79.0,78.0
8207,6,67,17.0940170940171,121.29469756043201,91,108.0,51.0,69.0,70.0,73.0,46.0,74.0
8208,6,67,22.7490213136146,82.0416063272808,66,75.0,60.0,63.0,59.0,48.0,31.0,36.0
8209,6,67,18.7270501835985,149.172886264899,67,67.0,26.0,52.0,41.0,19.0,20.0,25.0
8210,6,67,16.1915204678363,161.821878133007,93,84.0,32.0,46.0,46.0,30.0,19.0,35.0
